period	period_short	words	title	genre	form
1370	1300s	bahagia	Bayan 310:16	prose	root
1380	1300s	bahagia	AHmz 25:35	prose	root
1380	1300s	bahagia	AHmz 220:38 ....	prose	root
1380	1300s	bahagia	AHmz 328:12 .	prose	root
1380	1300s	bahagia	AHmz 362:28 .....	prose	root
1380	1300s	bahagia	AHmz 430:23	prose	root
1380	1300s	bahagia	AHmz 484:39	prose	root
1380	1300s	bahagia	AHmz 697:39	prose	root
1380	1300s	bahagia	MH 1/12:286 ........	prose	root
1380	1300s	bahagia	MH 1/19:9 .........	prose	root
1530	1500s	bahagia	Rama 31:2 ...	prose	root
1530	1500s	bahagia	Rama 33:2 .....	prose	root
1530	1500s	bahagia	Rama 87:13 ...	prose	root
1530	1500s	bahagia	Rama 166:1 ....	prose	root
1530	1500s	bahagia	Rama 659:6 ..	prose	root
1570	1500s	bahagia	Isk 19:8 .......	prose	root
1570	1500s	bahagia	Isk 22:26 .........	prose	root
1570	1500s	bahagia	Isk 58:13 ...........	prose	root
1570	1500s	bahagia	Isk 64:11 ....	prose	root
1570	1500s	bahagia	Isk 256:5 ....	prose	root
1570	1500s	bahagia	Isk 269:39 ...	prose	root
1570	1500s	bahagia	Isk 290:18 .......	prose	root
1600	1600s	bahagia	Boma 54:25 ...	prose	root
1600	1600s	bahagia	TS.K 79:11 .......	prose	root
1600	1600s	bahagia	TS.K 157:2 ........	prose	root
1600	1600s	bahagia	TS.R 12:7	prose	root
1600	1600s	bahagia	TS.R 82:16 ...	prose	root
1600	1600s	bahagia	TS.R 170:14 ...	prose	root
1620	1600s	bahagia	Aceh 117:17 ....	prose	root
1620	1600s	bahagia	Aceh 148:6	prose	root
1620	1600s	bahagia	Aceh 195:2 ..	prose	root
1620	1600s	bahagia	Aceh 195:2 ..	prose	root
1620	1600s	bahagia	Aceh 195:2 ..	prose	root
1620	1600s	bahagia	Aceh 220:9 ..	prose	root
1620	1600s	bahagia	Aceh 221:1 ....	prose	root
1620	1600s	bahagia	Aceh 279:10 .	prose	root
