period	words	title	genre	left	node	right	form	period_short
1370	senang	Bayan 209:23	prose	..... negeri itu semuanya kasih sayang akan Hasanah oléh bijaksananya Hasanah mengambil hati raja dengan segala isi negeri itu; daripada adil murahnya Hasanah sekahannya <phr>dalam</phr>	<w type=“target”>kesenangan</w>	juga. Demikianlah Hasanah memerintahkan segala rakyat dalam negeri itu. Hatta, beberapa lamanya, raja itu pun kejatuhan sakit terlalu sangat; beberapa diubati, usahkan ..	nominalised	1300s
1760	senang	BSK 204/61	prose	.. tubuh?” Jawabnya Dalu Wila, “Hamba masih ingat juga.” Maka ujar Tureli, “Allah taala dan Nabi Muhammad memberi selamat Tanah Bima. Rafu dewamu dan potimu <phr>memberi</phr> kebaikan dan	<w type=“target”>kesenangan</w>	Tanah Manggarai dan segala kamu isinya. Demikianlah hati kami sekalian ini. Hai Ama Kasar, barang apa kataku mengikut, jika kuhitamkan mau hitam, jika kuputihkan putih.”	nominalised	1700s
1760	senang	BSK 227/69	prose	....... lilin tiga kati, tikar enam helai, dan gula seusungan, lebah* seusungan. Syahdan maka adalah perkataan Tureli Bolo, “Hai tuan[-tuan],* kami sekalian ini terlalu suka dan	<w type=“target”>kesenangan</w>	* <phr>hati</phr> daripada melihat rupamu beriringan dengan adat yang purbakala adanya, seperti perbuatanmu ini pesankan kepada anak cucumu sampai kemudian harinya. Seperkara lagi ..	nominalised	1700s
1760	senang	BSK 272/74	prose	..... kepada Dalu Todo dan Dalu Leda. Demikian juga Dalu Leda jikalau ada kedukaan dan kesukaan, memaklumkan juga kepada Papu dan segala gelarang Pota. Itulah <phr>pohon</phr> kebaikan dan	<w type=“target”>kesenangan</w>	kamu sekalian adanya. Perkara yang ketiga bahwa seperti orang lari mengikut Karaeng Balak tatkala* di Pota, pertama orang Cibal dan orang Ruis, dan orang Gala, dan orang	nominalised	1700s
1770	senang	BSK 11/17	prose	.... kedua mengadakan arta, ketiga membanyakkan segala senjata, keempat bermufakat sama sekalian dalam negeri dan Tanah itu, yaitulah nama orang besar <phr>memeliharakan</phr> kehidupan dan	<w type=“target”>kesenangan</w>	segala rakyat, tadapat tiada dikerjakan demikian itu. Dan jikalau ada orang dipindahkan kebesarannya, mangkin naik dan tinggi lagi, dan tiada boleh sekali-sekali mangkin	nominalised	1700s
1770	senang	BSK 393/106	prose	........ akan diri hamba sekalian maka hidup dengan segala selamat sampai zaman sekarang melainkan Tanah Bima jua. Maka betapalah patik sekalian yang boleh <phr>mencari</phr> kebaikan dan	<w type=“target”>kesenangan</w>	kepada tanah yang lain-lain lagi, maka yaitu pada waktu sekarang adalah bertambah-tambah hati hamba sekalian tetap dengan kesukaan dan keridaan serta mengucap syukur ....	nominalised	1700s
1780	senang	BSK 399/106	prose	.. dirinya dengan Tanah Manggarai, supaya Duli Yang Dipertuan Kita mendapat nama yang kepujian beserta dengan laba yang tiada berkeputusan daripada <phr>tetap dengan</phr> kesentosaan dan	<w type=“target”>kesenangan</w>	segala dalu-dalu dan gelarang-gelarang atas Tanah Manggarai, demikianlah adanya. Bahwa ini peringatan bilangan banyak segala negeri yang dipegang oleh seseorang dalu-....	nominalised	1700s
1830	senang	Abd.PK 39	prose	Maka sebab itulah tinggal mereka itu dalam miskin dan malas dalam sepanjang `umurnya. Maka apabila tetaplah fikiran sahaya, inilah sebabnya negeri itu tiada boleh orang <phr>mendapat</phr>	<w type=“target”>kesenangan</w>	dan kesentosaan <phr>dalamnya</phr>, karena kurang baik perintahnya. Maka sekalian perkara yang tersebut ini telah datang dari sebab kejahatan dan kebebalan raja2nya sahaja. Maka ..	nominalised	1800s
1830	senang	Abd.PK 39	prose	...... sahaya, tiadalah lain lagi sebabnya daripada ini adanya. Syahdan maka berfikir2lah sahaya sendiri sambil sahaya bandingkan, lalu <phr>terkenanglah sahaya akan</phr> hal dan `adat dan	<w type=“target”>kesenangan</w>	orang yang duduk di bawah perintah Inggeris, karena adalah hal orang itu masing2 seperti raja juga adanya, dengan tiada seorang takut akan seorang, dan tiada boleh ......	nominalised	1800s
1830	senang	Abd.PK 39	prose	... dengan tiada seorang takut akan seorang, dan tiada boleh seorang menganiaya akan seorang, sebab segala perintah dan hukumnya itu menuju kepada suatu perkara yang besar, yaitu	<w type=“target”>kesenangan</w>	<phr>hati</phr> <phr>bagi</phr> segala ra`yatnya juga. Maka adalah kira2 sampai pukul empat petang, maka segala perahu2 Melayu yang bersaing itu pun tertinggallah. Maka dapatlah seekor .......	nominalised	1800s
