periods	genres	n
1250-99	prose_texts	0
1300-49	prose_texts	0
1350-99	prose_texts	394676
1450-99	prose_texts	0
1500-49	prose_texts	181874
1550-99	prose_texts	189345
1600-49	prose_texts	321424
1650-99	prose_texts	236206
1700-49	prose_texts	269402
1750-99	prose_texts	478609
1800-49	prose_texts	460394
1850-99	prose_texts	1143530
1900-49	prose_texts	227766
1950-99	prose_texts	78576
1250-99	documents	537
1300-49	documents	272
1350-99	documents	0
1450-99	documents	8366
1500-49	documents	442
1550-99	documents	4547
1600-49	documents	215256
1650-99	documents	3374
1700-49	documents	3462
1750-99	documents	63364
1800-49	documents	151852
1850-99	documents	82537
1900-49	documents	19418
1950-99	documents	0
1250-99	newspapers	0
1300-49	newspapers	0
1350-99	newspapers	0
1450-99	newspapers	0
1500-49	newspapers	0
1550-99	newspapers	0
1600-49	newspapers	0
1650-99	newspapers	0
1700-49	newspapers	0
1750-99	newspapers	0
1800-49	newspapers	0
1850-99	newspapers	2730
1900-49	newspapers	645921
1950-99	newspapers	0
1250-99	verse_texts	0
1300-49	verse_texts	0
1350-99	verse_texts	0
1450-99	verse_texts	0
1500-49	verse_texts	0
1550-99	verse_texts	0
1600-49	verse_texts	0
1650-99	verse_texts	0
1700-49	verse_texts	0
1750-99	verse_texts	82264
1800-49	verse_texts	156746
1850-99	verse_texts	220164
1900-49	verse_texts	65428
1950-99	verse_texts	0
