period	words	genre	title	citation	syntax	form
1370s	bahagia	prose texts	Bayan 310:16	"kasihmu itu? Dan jikalau engkau hendak kembali kepada anak binimu, pergilah engkau! Atas aku mengatakan dia, kebajikanmu kepada tuanmu laki-laki.’ Maka kata bayan, ‘Terlalu <w function=""pred"" type=""target"">bahagia</w> hambamu oléh mendengar rahimmu itu, ya siti yang budiman! Jikalau tuan hamba di belakang suami tuan, seolah-olah tiadalah berumpamakan tuan yang laki-laki, tiadalah ........"	non-nominal	root
1380s	bahagia	prose texts	AHmz 25:35	"budak itu Umar Umaiyah. Terlalulah sukacita Umaiyah Zamhuri sebab beroleh harta banyak itu. Anaknya itu dicium serta dijunjungnya ke atas kepalanya, seraya katanya, ""Dari sebab <w function=""nom"" type=""target"">bahagia</w> <phr n=""a1"" ana=""nm"">anakku</phr> ini maka aku beroleh emas banyak. Jika tiada sebab anakku ini tiada pernah pun aku termimpi, seumur hidupku tiada kulihat harta yang demikian ini; sekarang .........."	nominal	root
1380s	bahagia	prose texts	AHmz 220:38 ....	"haram zadah, adapun Umar Muad Karab itu layaklah akan menjadi menantuku, di mana lagi akan diperoleh sebagai Umar Muad Karab itu, dia bukan barang-barang orang. Apa kurang <w function=""pred"" type=""target"">bahagia</w> aku beroleh menantu akan Umar Muad Karab itu, kerana ia pun anak raja besar dan penghulu lasykar Arab, akan engkau itu bicarakanlah dirimu. Bermenantukan si pencuri lagi ..."	non-nominal	root
1380s	bahagia	prose texts	AHmz 328:12 .	"-gemilang cahaya kelihatan pada dahi kedua kanak-kanak itu; barang siapa melihat akan kedua kanak-kanak itu terlalulah kasihnya; inilah alamat berbahagia dan kebesaran; kerana <w function=""nom"" type=""target"">bahagia</w> dan kebesaran itu tiada dapat <phr n=""a1"" ana=""m"">dibuat-buat</phr>, melainkan telah tersurat pada Loh Mahfuz juga adanya. ¶ Alkisah peri mengatakan tatkala Raja Nusyirwan menerima surat daripada ..."	nominal	root
1380s	bahagia	prose texts	AHmz 362:28 .....	"kotanya. Setelah kedengaranlah kepada segala kafir itu bahawa Tuan Puteri Mihran Negara sudah keluar, mereka pun menampar-nampar dada sambil berkata, ""Wah, sayang sekali, <w function=""nom"" type=""target"">bahagia</w> <phr n=""a1"" ana=""m"">datang</phr> ke tempat kita, maka lepas pula."" Maka kata Bakhtik, ""Ke mana perginya dia dapat lepas dari tangan kita?"" Kemudian oleh Bakhtik diisyaratkannya kepada Malik Bahaman,"	nominal	root
1380s	bahagia	prose texts	AHmz 430:23	"seorang laki-laki mengatakan dirinya saudara kepada Hamzah, jika anakku kabul akan dia, kuberikanlah anakku jadi isterinya."" Maka kata Rabi`ah Falas, ""Di manakan hamba <phr n=""p1"" ana=""m"">beroleh</phr> <w function=""nom"" type=""target"">bahagia</w> bersuamikan Amir Hamzah; tetapi jika saudara kepada Hamzah pun hamba peroleh, berbahagialah hamba namanya."" Maka perempuan yang disuruh itu pun menyembahkan segala kata-...."	nominal	root
1380s	bahagia	prose texts	AHmz 484:39	"Raja Nusyirwan pun menundukkan kepalanya berdiam diri. Ketika itu Bakhtik pun datang menghampiri Raja Nusyirwan serta berdatang sembah, ""Ya syah alam, dari mana lagi <phr n=""p1"" ana=""m"">diperoleh</phr> <w function=""nom"" type=""target"">bahagia</w> demikian ini, sementara terikat Arab ini, segeralah tuanku suruh penggal lehernya."" Setelah Amir Hamzah tahulah bahawa kafir itu hendak berbuat khianat dan hendak membunuh ."	nominal	root
1380s	bahagia	prose texts	AHmz 697:39	"ke sana, akan sekarang mengapa pula hamba hendak ditinggalkan oleh tuan hamba? Hamba pun hendak bertemu dengan Muhammad Rasulullah Nabi Akhirul Zaman itu, supaya hamba <phr n=""p1"" ana=""m"">beroleh</phr> <w function=""nom"" type=""target"">bahagia</w> di negeri akhirat kelak."" Setelah Amir Hamzah mendengar demikian kata Kulanggi itu, maka ujarnya: ""Bismillahir rahmanir rahim, jika dengan reda tuan hamba, baiklah!"" Maka .."	nominal	root
1380s	bahagia	prose texts	MH 1/12:286 ........	"yang diperkenankan oleh Syahrbanun akan suaminya, maka baginda Umar dan segala sahabat pun sekalian terlalu amat sukacita. Maka segala mereka itu pun berkata: ""Terlalu <w function=""pred"" type=""target"">bahagia</w> sekali puteri itu, maka amir Husain diambilnya akan suaminya!"" Maka beberapa hari antaranya, maka berhimpun segala sahabat duduk di dalam masjid rasul Allah, maka baginda .."	non-nominal	root
1380s	bahagia	prose texts	MH 1/19:9 .........	"apa tuan hamba suruhkan pada hamba ini?"" Maka kata Mu`awiyah: ""Hendaklah aku kaucarikan daya upaya akan membunuh Ali itu!"" Maka kata perempuan tuha itu: ""Jikalau <phr n=""p1"" ana=""WIDLII"">dengan</phr> <w function=""uns"" type=""target"">bahagia</w> tuan hamba, dapat hamba berdayakan dia!"" Setelah sudah didengarnya kata perempuan tuha itu, maka diberinya perempuan tuha itu beberapa ratus dinar dan pedang sebilah ......."	non-nominal	root
1530s	bahagia	prose texts	Rama 31:2 ...	"bersalahan segala barang kelakuan, penglihatan kamu dan penengaran kamu akan negeri itu."" Maka sembah Sipanjalma, ""Jikalau barang daulat sri maharaja <phr n=""p1"" ana=""m"">bertambah-tambah</phr> kiranya <w function=""nom"" type=""target"">bahagia</w> sri maharaja hambalah akan menyampaikan kehendak hati sri maharaja itu."" Arakian segala pakaian dan senjata dari tubuh maharaja Balikasya diberikan Sipanjalma. Maka ia pun ."	nominal	root
