ID	SOURCES	SEARCH_WORD	GENRES	CORPUS	PERIOD	REST_LEFT	NODE	REST_RIGHT	DATA_TYPE	ROOT_USE	USE	PATTERN	ENGLISH_GLOSS	WORD_ORDER	LU_PHRASE_TYPE	LEXICAL_UNIT	METANET_SOURCE_FRAMES	SUBMET	CXN_PATTERNS	FRAME_FAMILIES	PERIODS	PERIOD_RANGE	METAPHORS
bhg_1	classical_malay	bahagia	letters_&_documents	BS.L 2/13:29	1640	Aceh Dar al-Salam. Tatkala itu adalah umur baginda tujuh tahun. Demi ditilik Raja Iskandar Muda akan Sultan Alauddin Mughayat Syah, maka kelihatanlah <phr>cahaya segala tanda</phr>	<w type=“target”>kebahagiaan</w>	"<phr>pada mukanya</phr> dan segala sifat yang tiada terperi kepujiannya. Maka diketahui Raja Iskandar Muda adalah dengan ilmu firasatnya: ""Bahawasanya ialah raja aad-diraja yang"	ke_an	ke_an	m	cahaya tanda NP pada muka	light as sign of NP on the face	NA	np	cahaya	LIGHT SOURCE	HAPPINESS IS LIGHT SOURCE	S-subj_T-noun	LUMINOUSITY	1600s	1600-49	happiness is light
bhg_10	classical_malay	bahagia	newspapers	S 15Jan36:2	1930	demikian lebih senang dan bahagialah kehidupan Melayu dizaman kuno daripada kita sekarang ini? Di manakah yang kita sekarang ini katakan sudah berada di dalam kemajuan padahal	<w type=“target”>kebahagiaan</w>	dan <colloc>kelimpahan</colloc> umat Melayu yang bodoh di zaman dahulu pun <phr>belum dapat kita menyamai</phr> betapa pula <phr>mengatasinya</phr>? Ya, boleh jadi sebab2 kita memandang dan menilik perubahan	ke_an	ke_an	m	NP X mengatasi	NP, X defeats it	NA	vp	atasi	PHYSICAL COMPETITION	HAPPINESS IS AN OPPONENT IN A COMPETITION	T-gr-subj_a-subj_S-verb	FORCE	1900s	1900-49	happiness is an adversary
bhg_10	classical_malay	bahagia	newspapers	S 15Jan36:2	1930	demikian lebih senang dan bahagialah kehidupan Melayu dizaman kuno daripada kita sekarang ini? Di manakah yang kita sekarang ini katakan sudah berada di dalam kemajuan padahal	<w type=“target”>kebahagiaan</w>	dan <colloc>kelimpahan</colloc> umat Melayu yang bodoh di zaman dahulu pun <phr>belum dapat kita menyamai</phr> betapa pula <phr>mengatasinya</phr>? Ya, boleh jadi sebab2 kita memandang dan menilik perubahan	ke_an	ke_an	m.multi	NP X menyamai	NP, X equals it	NA	vp	samai	PHYSICAL COMPETITION	HAPPINESS IS AN OPPONENT IN A COMPETITION	T-gr-subj_a-subj_S-verb	FORCE	1900s	1900-49	happiness is an adversary
bhg_11	classical_malay	bahagia	newspapers	S 15Jan36:2	1930	bukan Melayu kita apa sekadarkan dapat titik “kemajuan di mata sahaja” camkanlah! Pada pendapatan kita sekira umat Melayu kita masih teringin lagi <phr>mencapai akan</phr> <colloc>kemajuan</colloc> dan	<w type=“target”>kebahagiaan</w>	<colloc>hidup</colloc> sebagaimana <colloc>kemahuan</colloc> agama untuk keselamatan di dunia dan di akhirat perlulah rasanya dari hari ini kita melangkah dan mencari bekas2 sejara perjalanan umat2	ke_an	ke_an	m	mencapai akan NP	to reach towards NP	NA	vp	capai	MOTION TO A LOCATION	ATTAINING HAPPINESS IS ARRIVING/REACHING A DESTINATION	S-verb_prep_T-noun	MOTION	1900s	1900-49	happiness is a desired goal
bhg_12	classical_malay	bahagia	newspapers	S 15Jan36:2	1930	dan mencari bekas2 sejara perjalanan umat2 Melayu kita di zaman yang lalu di atas hal kehidupan kerana jika kita perhatikan dengan perhatian yang sesuai <phr>nyatalah</phr> <colloc>kehidupan</colloc> dan	<w type=“target”>kebahagiaan</w>	<phr>yang selalu itu ada</phr> lebih <colloc>beruntung</colloc> dibanding keadaan umat kita sekarang, coba buka segala lipatan telah dahulu kala tentu sahaja mereka itu sekaliannya ada yang	ke_an	ke_an	m	NP yang ada	NP that exists	NA	vp	ada	BEING AT A LOCATION	EXISTENCE OF HAPPINESS IS PRESENCE OF AN OBJECT AT A LOCATION	T-noun_REL_S-verb	LOCATION	1900s	1900-49	happiness is a located object
bhg_13	classical_malay	bahagia	newspapers	S 14Mar36:2	1930	sampailah cita2 sebarang apa jua yang dihajatkan bagi kebanyakan kaum dan tanah air kita Melayu ini, bahkan dipeliharakan Tuhan juga paduka tuan2 yang berhormat <phr>di dalam</phr>	<w type=“target”>kebahagiaan</w>	dan <colloc>keselamatan</colloc>. Bahwa kita berharap dengan harapan yang penuh akan cita2 itu berjaya kelak dan jua kita berkata ‘hiduplah bahasa Melayu dan tulisannya’ di alam	ke_an	ke_an	prepo	di dalam NP	inside of NP	NA	pp	di dalam	BOUNDED REGION	EXPERIENCING HAPPINESS IS BEING IN A BOUNDED REGION	S-prep_T-noun	LOCATION	1900s	1900-49	happiness is a location
bhg_16	classical_malay	bahagia	newspapers	PK 92:5d	1930	hendak diserang , tetapi kasihan tak nampak terang. | Kerana mereka kurang perusahaan , asyik duduk di dalam kelekaan , tidak dijaga lubuk <colloc>kebinasaan</colloc>. , akhirnya <phr>terlepas</phr> <phr>semua</phr>	<w type=“target”>kebahagiaan</w>	. | Sungguhpun umat Melayu begitu , dapat juga menaikkan mutu , ialah syarat kemajuan yang tertentu , dapat ditirunya satu-persatu. | Kemajuan Melayu sekarang ini , ada	ke_an	ke_an	m.multi	NP terlepas	NP be unbound	NA	vp	lepas	DETACH	CEASING HAPPINESS IS DETACHING/PULLING-OFF AN OBJECT	T-subj_S-verb	MOTION	1900s	1900-49	ceasing happiness is detaching/pulling-off an object
bhg_17	classical_malay	bahagia	newspapers	S 10Feb37:3	1930	yang amat sadar ini menjaga qalamnya kepada kemajuan bangsanya. Tetapi ingat baik2 dengan neraca kesempurnaan fikiran yang telah dikaruniakan oleh <colloc>Tuhan</colloc> yang telah <phr>meninggikan</phr>	<w type=“target”>kebahagiaan</w>	kita dengan hewan itu. Maka tiada sekali gunanya kelab2 itu didirikan manakala di dalamnya diadakan dengan permainan yang membawa kepapaan (paku, biliard, dam dan ......	ke_an	ke_an	m	meninggikan NP	to heighten NP	NA	vp	tinggikan	BEING AT A HIGH LOCATION	HAPPINESS IS UP	S-verb_T-dobj	LOCATION	1900s	1900-49	happiness is up
bhg_19	classical_malay	bahagia	newspapers	S 23Feb38:7	1930	.... daripada agama Islam. Dan biasanya agama Islam ini iaitulah agama yang bersetuju dengan muslihat alam dan isinya pada <phr>mengatur</phr>, <phr>memelihara</phr> dan <phr>menjalankan</phr> <phr>segala</phr> <colloc>kemajuan</colloc>,	<w type=“target”>kebahagiaan</w>	, <colloc>keamanan</colloc>, <colloc>kesejahteraan</colloc> dan <colloc>keutamaan</colloc> ramai sama ada di dalam masa kehidupan atau kematian pun. Syahdan bahwa Islam itu -- bahkan daripada perjalanan atau pengetahuan .	ke_an	ke_an	m.multi	memelihara NP	to take care of/maintain NP	NA	vp	pelihara	PROTECTING	MAINTAINING HAPPINESS IS PROTECTING AN OBJECT	S-verb_T-dobj	HARM	1900s	1900-49	happiness is an imperilled entity
bhg_19	classical_malay	bahagia	newspapers	S 23Feb38:7	1930	.... daripada agama Islam. Dan biasanya agama Islam ini iaitulah agama yang bersetuju dengan muslihat alam dan isinya pada <phr>mengatur</phr>, <phr>memelihara</phr> dan <phr>menjalankan</phr> <phr>segala</phr> <colloc>kemajuan</colloc>,	<w type=“target”>kebahagiaan</w>	, <colloc>keamanan</colloc>, <colloc>kesejahteraan</colloc> dan <colloc>keutamaan</colloc> ramai sama ada di dalam masa kehidupan atau kematian pun. Syahdan bahwa Islam itu -- bahkan daripada perjalanan atau pengetahuan .	ke_an	ke_an	m.multi	menjalankan NP	to cause NP to walk	NA	vp	jalankan	FORCED MOTION	CAUSING HAPPINESS IS CAUSED MOTION OF AN OBJECT TO A LOCATION	S-verb_T-dobj	MOTION	1900s	1900-49	causing happiness is caused motion of an object to a location
